0:0:0:0:0:0:0:1 - - [23/Apr/2019:14:38:02 +0800] "GET /Music/picture/back.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2019:14:38:02 +0800] "GET /Music/picture/search.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2019:14:38:07 +0800] "GET /Music/servlet/Login HTTP/1.1" 405 1065
0:0:0:0:0:0:0:1 - - [23/Apr/2019:14:38:18 +0800] "POST /Music/servlet/Login HTTP/1.1" 200 4273
0:0:0:0:0:0:0:1 - - [23/Apr/2019:14:38:18 +0800] "GET /Music/servlet/js/jquery-1.8.3.min.js HTTP/1.1" 404 1023
0:0:0:0:0:0:0:1 - - [23/Apr/2019:14:38:18 +0800] "GET /Music/picture/my.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2019:14:38:18 +0800] "GET /Music/picture/set.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2019:14:38:26 +0800] "GET /Music/servlet/index.jsp HTTP/1.1" 404 997
0:0:0:0:0:0:0:1 - - [23/Apr/2019:14:38:55 +0800] "GET /Music/servlet/Login HTTP/1.1" 405 1065
0:0:0:0:0:0:0:1 - - [23/Apr/2019:14:39:00 +0800] "POST /Music/servlet/Login HTTP/1.1" 200 4276
0:0:0:0:0:0:0:1 - - [23/Apr/2019:14:39:00 +0800] "GET /Music/servlet/js/jquery-1.8.3.min.js HTTP/1.1" 404 1023
0:0:0:0:0:0:0:1 - - [23/Apr/2019:14:39:00 +0800] "GET /Music/picture/my.png HTTP/1.1" 200 15349
0:0:0:0:0:0:0:1 - - [23/Apr/2019:14:39:00 +0800] "GET /Music/picture/set.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2019:14:39:00 +0800] "GET /Music/picture/back.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2019:14:39:02 +0800] "GET /Music/index.jsp HTTP/1.1" 200 6411
0:0:0:0:0:0:0:1 - - [23/Apr/2019:14:39:02 +0800] "GET /Music/js/jquery-1.8.3.min.js HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [23/Apr/2019:14:39:02 +0800] "GET /Music/content.jsp HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [23/Apr/2019:14:40:07 +0800] "GET /Music/index.jsp HTTP/1.1" 200 6411
0:0:0:0:0:0:0:1 - - [23/Apr/2019:14:40:07 +0800] "GET /Music/js/jquery-1.8.3.min.js HTTP/1.1" 404 1007
